iter	Passed	Remaining
1502	42909	242585
1503	42937	242553
1504	42966	242525
1505	42995	242501
1506	43025	242477
1507	43052	242442
1508	43081	242415
1509	43111	242394
1510	43140	242368
1511	43167	242334
1512	43196	242306
1513	43225	242279
1514	43254	242251
1515	43282	242224
1516	43310	242188
1517	43339	242165
1518	43342	241993
1519	43371	241966
1520	43400	241944
1521	43430	241919
1522	43457	241884
1523	43487	241861
1524	43516	241835
1525	43545	241811
1526	43573	241779
1527	43602	241751
1528	43631	241727
1529	43660	241701
1530	43687	241666
1531	43717	241643
1532	43746	241618
1533	43775	241594
1534	43804	241568
1535	43833	241543
1536	43862	241516
1537	43891	241489
1538	43920	241464
1539	43949	241438
1540	43978	241412
1541	44008	241388
1542	44037	241364
1543	44066	241336
1544	44095	241313
1545	44124	241288
1546	44154	241265
1547	44183	241240
1548	44212	241215
1549	44243	241196
1550	44274	241181
1551	44302	241152
1552	44330	241121
1553	44358	241086
1554	44387	241064
1555	44417	241040
1556	44447	241021
1557	44477	240999
1558	44507	240981
1559	44537	240959
1560	44567	240938
1561	44596	240911
1562	44625	240888
1563	44655	240864
1564	44684	240839
1565	44711	240801
1566	44741	240779
1567	44770	240755
1568	44800	240735
1569	44829	240710
1570	44856	240671
1571	44886	240649
1572	44916	240627
1573	44945	240603
1574	44974	240579
1575	45004	240556
1576	45033	240530
1577	45061	240497
1578	45090	240471
1579	45118	240442
1580	45146	240412
1581	45175	240383
1582	45202	240347
1583	45230	240317
1584	45235	240161
1585	45264	240136
1586	45291	240101
1587	45321	240076
1588	45350	240052
1589	45379	240026
1590	45409	240003
1591	45438	239977
1592	45467	239951
1593	45497	239929
1594	45526	239904
1595	45554	239872
1596	45583	239848
1597	45613	239825
1598	45642	239799
1599	45671	239775
1600	45700	239750
1601	45729	239724
1602	45759	239699
1603	45786	239664
1604	45813	239631
1605	45843	239608
1606	45872	239581
1607	45900	239551
1608	45928	239518
1609	45957	239491
1610	45985	239463
1611	46014	239436
1612	46044	239412
1613	46073	239387
1614	46102	239362
1615	46131	239337
1616	46160	239311
1617	46190	239287
1618	46218	239255
1619	46247	239228
1620	46275	239198
1621	46304	239174
1622	46333	239148
1623	46362	239119
1624	46390	239090
1625	46421	239074
1626	46451	239053
1627	46481	239031
1628	46510	239006
1629	46540	238985
1630	46569	238957
1631	46597	238927
1632	46626	238901
1633	46654	238870
1634	46684	238846
1635	46712	238817
1636	46740	238782
1637	46769	238758
1638	46798	238733
1639	46826	238699
1640	46855	238673
1641	46883	238645
1642	46913	238622
1643	46943	238600
1644	46974	238583
1645	47005	238567
1646	47034	238540
1647	47064	238523
1648	47094	238498
1649	47122	238470
1650	47151	238441
1651	47181	238418
1652	47210	238396
1653	47240	238374
1654	47270	238352
1655	47301	238333
1656	47330	238310
1657	47360	238289
1658	47389	238263
1659	47419	238240
1660	47450	238222
